iso3,country_name,region,income_group
abw,Aruba,Latin America & Caribbean ,High income
afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
ago,Angola,Sub-Saharan Africa ,Lower middle income
alb,Albania,Europe & Central Asia,Upper middle income
and,Andorra,Europe & Central Asia,High income
are,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income
arg,Argentina,Latin America & Caribbean ,Upper middle income
arm,Armenia,Europe & Central Asia,Upper middle income
asm,American Samoa,East Asia & Pacific,High income
atg,Antigua and Barbuda,Latin America & Caribbean ,High income
aus,Australia,East Asia & Pacific,High income
aut,Austria,Europe & Central Asia,High income
aze,Azerbaijan,Europe & Central Asia,Upper middle income
bdi,Burundi,Sub-Saharan Africa ,Low income
bel,Belgium,Europe & Central Asia,High income
ben,Benin,Sub-Saharan Africa ,Lower middle income
bfa,Burkina Faso,Sub-Saharan Africa ,Low income
bgd,Bangladesh,South Asia,Lower middle income
bgr,Bulgaria,Europe & Central Asia,High income
bhr,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income
bhs,"Bahamas, The",Latin America & Caribbean ,High income
bih,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income
blr,Belarus,Europe & Central Asia,Upper middle income
blz,Belize,Latin America & Caribbean ,Upper middle income
bmu,Bermuda,North America,High income
bol,Bolivia,Latin America & Caribbean ,Lower middle income
bra,Brazil,Latin America & Caribbean ,Upper middle income
brb,Barbados,Latin America & Caribbean ,High income
brn,Brunei Darussalam,East Asia & Pacific,High income
btn,Bhutan,South Asia,Lower middle income
bwa,Botswana,Sub-Saharan Africa ,Upper middle income
caf,Central African Republic,Sub-Saharan Africa ,Low income
can,Canada,North America,High income
che,Switzerland,Europe & Central Asia,High income
chi,Channel Islands,Europe & Central Asia,High income
chl,Chile,Latin America & Caribbean ,High income
chn,China,East Asia & Pacific,Upper middle income
civ,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income
cmr,Cameroon,Sub-Saharan Africa ,Lower middle income
cod,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income
cog,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income
col,Colombia,Latin America & Caribbean ,Upper middle income
com,Comoros,Sub-Saharan Africa ,Lower middle income
cpv,Cabo Verde,Sub-Saharan Africa ,Upper middle income
cri,Costa Rica,Latin America & Caribbean ,High income
cub,Cuba,Latin America & Caribbean ,Upper middle income
cuw,Curacao,Latin America & Caribbean ,High income
cym,Cayman Islands,Latin America & Caribbean ,High income
cyp,Cyprus,Europe & Central Asia,High income
cze,Czechia,Europe & Central Asia,High income
deu,Germany,Europe & Central Asia,High income
dji,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
dma,Dominica,Latin America & Caribbean ,Upper middle income
dnk,Denmark,Europe & Central Asia,High income
