year,country,"literacy rate, adult total (% of people ages 15 and above)","primary completion rate, total (% of relevant age group)","school enrollment, secondary (% gross)",gdp per capita (current us$),"access to electricity, rural (% of rural population)",poverty headcount ratio at $6.85 a day (2017 ppp) (% of population),individuals using the internet (% of population)
1990,ABW,,,,12187.5363611898,100.0,,0.0
1991,ABW,,,,13233.9905169683,98.3737741616736,,
1992,ABW,,,,13892.6051427736,98.4282597493425,,
1993,ABW,,,,14700.9598081521,98.5017492013514,,
1994,ABW,,,,16055.2877874337,100.0,,
1995,ABW,,,,16548.7173868987,100.0,,
1996,ABW,,,,16620.9545555513,100.0,,2.77
1997,ABW,,,,17750.0095644198,100.0,,
1998,ABW,,,,18828.0870594071,100.0,,
1999,ABW,,97.4852066040039,92.0765380859375,19216.1972354472,100.0,,4.51
2000,ABW,97.0,87.6526489257812,93.7623291015625,20681.0230269625,100.0,,15.4
2001,ABW,,94.7483596801758,95.2861022949219,20740.1325828172,100.0,,17.1
2002,ABW,,98.3309097290039,100.267097473145,21307.2482505267,100.0,,18.8
2003,ABW,,91.7639007568359,99.4354400634766,21949.4859960868,100.0,,20.8
2004,ABW,,94.4972763061523,97.2117691040039,23700.6319899197,100.0,,23.0
2005,ABW,,93.6026916503906,95.5296020507812,24171.8371325422,100.0,,25.4
2006,ABW,,96.1588516235352,100.635818481445,24845.65848362,100.0,,28.0
2007,ABW,,102.187286376953,104.846458435059,26736.3089444046,100.0,,30.9
2008,ABW,,97.9946517944336,96.9074935913086,28171.9094008501,100.0,,52.0
2009,ABW,,102.097900390625,99.5183868408203,25134.7712303589,100.0,,58.0
2010,ABW,97.0,95.5525588989258,96.1624069213867,24093.1401510626,100.0,,62.0
2011,ABW,,,95.9802322387695,25712.3843015186,100.0,,69.0
2012,ABW,,,109.417449951172,25119.6655449838,100.0,,74.0
2013,ABW,,97.9137725830078,,25813.5767274227,100.0,,78.9
2014,ABW,,106.117988586426,,26129.8390617693,100.0,,83.8
2015,ABW,,,,27458.2253310273,100.0,,88.7
2016,ABW,,,,27441.5296617282,100.0,,93.5
2017,ABW,,,,28440.051963759,100.0,,97.2
2018,ABW,,98.0972518920898,137.537155151367,30082.1276448186,100.0,,
2019,ABW,,108.233528137207,140.313613891602,31096.2050738676,100.0,,
2020,ABW,97.9899978637695,103.185188293457,132.908020019531,22855.9323200761,100.0,,
2021,ABW,,100.936767578125,124.23558807373,27200.0610793969,100.0,,
2022,ABW,,95.0197601318359,136.216690063477,30559.5335346581,100.0,,
2023,ABW,,,,33984.7906198041,100.0,,
1990,AFE,58.1487617492676,51.8595504760742,24.4128704071045,822.81763829676,,,
1991,AFE,58.1818008422852,52.6319808959961,24.7756805419922,862.848274320851,,,
1992,AFE,58.4699516296387,51.5099983215332,24.415060043335,733.178346101692,,,
1993,AFE,58.9126014709473,52.728588104248,24.5828495025635,709.663898415713,,,
1994,AFE,59.3459014892578,51.3385696411133,25.0341796875,701.041569805609,,,
1995,AFE,59.9219398498535,51.6574401855469,25.8681907653809,766.820604144652,,,
1996,AFE,60.4498596191406,51.8213195800781,26.2008209228516,747.069736338611,,,
1997,AFE,61.1914596557617,51.1529388427734,26.319450378418,767.68418779028,,,
1998,AFE,61.4049110412598,49.7822113037109,27.1694602966309,697.352692614161,,,
1999,AFE,62.2657089233398,49.6071510314941,27.4339294433594,670.697827770518,,,
2000,AFE,62.7700996398926,49.3755912780762,27.6004199981689,707.120376327506,8.6236633307217,,
2001,AFE,63.2581901550293,51.5703086853027,28.6678905487061,626.169148423877,,,
2002,AFE,63.9522705078125,53.1382293701172,29.3207302093506,625.998814954319,,,
2003,AFE,64.4423522949219,54.6929588317871,29.9111099243164,809.968139434436,9.78557104408492,,
2004,AFE,64.6767501831055,55.8798217773438,31.3254203796387,981.744630526503,10.9422220173862,,
2005,AFE,64.1336822509766,58.5243606567383,32.3135108947754,1115.71395556649,10.4407341269305,,
2006,AFE,62.1792793273926,60.8099708557129,33.8777389526367,1220.0024682059,12.5627246031267,,
2007,AFE,63.1340789794922,62.6745681762695,35.3552894592285,1362.31065076801,12.5140776366222,,
2008,AFE,63.3671798706055,65.9203186035156,36.879711151123,1421.11861211069,12.9811379938407,,
2009,AFE,64.0625,69.6016387939453,38.0843315124512,1386.59020649073,15.549057178754,,
2010,AFE,64.8099975585938,69.3187866210938,39.0978584289551,1601.72774808025,14.5412534681743,,
2011,AFE,66.8712768554688,68.2895202636719,39.8236808776855,1735.58514005394,16.1589607280578,,
2012,AFE,68.5478668212891,67.9991226196289,40.910758972168,1702.96925758003,19.4428600565771,,
2013,AFE,69.380859375,67.4955368041992,41.6186714172363,1673.14047580686,18.7750738949997,,
2014,AFE,70.0353088378906,67.727897644043,42.7556381225586,1656.10764215035,17.6729432536291,,
2015,AFE,70.4470901489258,67.4567337036133,42.7673301696777,1479.56412348117,16.5275540274787,,
