country,year,gdp per capita (current us$),gdp (current us$),"inflation, consumer prices (annual %)",poverty headcount ratio at $6.85 a day (2017 ppp) (% of population),renewable energy consumption (% of total final energy consumption),"pm2.5 air pollution, mean annual exposure (micrograms per cubic meter)",total greenhouse gas emissions excluding lulucf per capita (t co2e/capita),"energy use (kg of oil equivalent) per $1,000 gdp (constant 2021 ppp)"
ABW,2024,33984.7906198041,3648573136.15155,4.25746204335428,,8.8,,5.23011577976695,
AFE,2024,1659.51529015376,1245472471675.95,7.12697482131851,,66.1234486957514,26.7556863585895,1.95897220102412,136.911837024892
AFG,2024,415.707417059086,17233051620.1117,-6.60118564073726,,20.0,46.0870936659706,0.710656611914853,
AFW,2024,1568.72431045118,799105950273.831,5.22116801323998,,76.1028186880091,54.8918200968729,1.77866236688771,69.6983689170864
AGO,2024,2308.15976731274,84824654481.7249,28.2404948915772,78.0,52.9,25.1452381976267,1.84220335148612,57.1981472028691
ALB,2024,8575.17113446213,23547179830.4413,2.21448953273294,13.7,41.9,15.7070036417042,2.79452958733738,45.6225775826455
ARB,2024,7292.21040780618,3512421040998.19,3.64216403030709,,5.13858498417462,39.7132146879838,6.52734519572524,105.144649928558
ARE,2024,49040.6947525825,514130432653.081,1.62670837213248,0.4,1.0,36.3055030826594,25.5465052537017,121.040695840148
ARG,2024,14187.4827252965,646075277525.125,,10.9,9.2,14.9081737974407,8.03024682399366,65.4770842308897
ARM,2024,8053.01066312345,24085749592.3359,0.269511978259125,51.3,9.1,30.5796334750125,3.62309003978735,75.3425649830028
ASM,2024,18017.4589383973,871000000.0,,,0.4,6.71514739512663,0.178868289808716,
ATG,2024,21787.1017315914,2033085185.18518,5.06713865364213,,0.9,19.6982695582914,4.16434480689271,
AUS,2024,64820.9117890026,1728057316695.61,3.1616142830575,1.0,12.3,8.25171746070811,21.4502012607549,83.9914183960255
AUT,2024,56033.573792065,511685203845.001,2.93791574279383,1.1,36.0,10.9335136815146,7.9854805661252,51.6309286739462
AZE,2024,7125.90858368611,72356176470.5882,2.21217188919901,,1.3,21.7269999756599,6.16018896276703,81.720294751095
BDI,2024,193.007145564804,2642161668.85211,20.2124925027847,96.8,83.0,29.6541345084659,0.514929379923956,
BEL,2024,54700.9093236712,644782756682.756,3.14349136500041,0.2,11.7,11.2160664677018,9.02404198101654,63.5185969154762
BEN,2024,1394.37330217623,19676049075.7011,2.73102465280233,81.4,54.5,51.0478241974862,1.18343560082131,104.734077661966
BFA,2024,882.689810086163,20324617844.5265,4.19113446375394,88.1,71.4,58.4706762025055,1.49644468008375,126.894696088005
BGD,2024,2551.01772674142,437415331040.994,10.4657482763412,74.1,25.0,42.3813762359965,1.64101848408256,37.6663518214095
BGR,2024,15885.5391311331,102407653020.606,2.44651943006079,5.8,20.4,17.1474236131426,8.27914452836815,91.509754753385
BHR,2024,29218.8605634137,46079867021.2766,0.919635459817651,,0.0,58.4950629834781,40.4131360970008,0.0
BHS,2024,35896.50510715,14338500000.0,3.05291578969743,,1.1,18.9393918728687,5.13293611055478,
BIH,2024,8638.66620201187,27514782476.0406,1.69212733599724,5.8,36.6,26.6019532713554,9.22992973787414,117.664107445821
BLR,2024,7829.05313660622,71857382745.6066,5.78531910428,1.3,8.2,14.6089903841381,9.18226886945706,107.865704698791
BLZ,2024,7459.99815132837,3066850000.0,3.28955985952768,,30.8,28.6518070195516,2.23859539875361,
BMU,2024,125841.602522489,8141700000.0,,,0.9,7.33600052500811,5.85489505085165,
BOL,2024,3686.27996490544,45135398008.8166,5.09976568317427,15.2,12.8,22.879459074231,4.50710416289106,82.4537640795827
BRA,2024,10294.866680778,2173665655937.27,4.36746407652337,23.5,46.5,12.1793252040724,6.1578308749706,77.6772783818259
BRB,2024,23804.0249914995,6720733200.0,9.79207077126447,,5.5,23.7309657842996,3.50291850844384,
BRN,2024,32962.9065121916,15128292980.8638,-0.388674165036461,,0.0,7.59726503432135,26.4907429801568,124.899459202719
BTN,2024,3711.32767902157,2898227743.13545,2.76131569624098,8.4,82.5,23.9456576369223,4.13906674211741,
BWA,2024,7820.23240375076,19396084498.0084,2.81835131676251,63.5,27.4,18.9057549925814,5.12562473692104,62.4807601241014
CAF,2024,495.978897153068,2555492085.24831,2.97913852618937,96.2,90.9,34.4334184466457,2.42654860695584,
CAN,2024,53431.1857063879,2142470914401.36,2.38158383281173,0.7,23.8,6.56566994375263,18.6463777865303,130.757041912295
CEB,2024,22637.7950110942,2267760561102.28,9.44284140088564,,19.6856532373123,15.7529957032861,8.28714530913082,64.4215920847944
CHE,2024,99564.710026145,884940402230.409,1.06234041976595,0.1,27.7,9.06104968621636,4.88815767341768,30.7661823516395
CHL,2024,17067.8136150601,335533331669.219,4.29763891572524,4.7,24.2,23.2750668049145,6.1785502548854,66.5098073865757
CHN,2024,12614.0617416421,17794783039552.0,0.218128938439177,17.0,15.2,34.8105237153218,11.302100786129,128.051083939699
CIV,2024,2530.84659301723,78875489245.0538,3.46637314660165,76.4,58.2,49.4977827339493,1.03267526489256,75.3450335394679
CMR,2024,1736.86091073524,49279410982.826,7.38281384280984,76.0,79.2,39.8126251004519,1.38785586292902,79.3006994432934
COD,2024,627.502181690836,66383287002.9867,2.88585107289988,97.7,96.3,26.6494833206385,0.530352988609074,282.143532430161
COG,2024,2477.97845544866,15321055822.5167,4.30174563591016,83.5,71.4,28.5737499496554,3.83348550070072,101.140264670976
