country,year,GDP per capita (current US$),"Life expectancy at birth, total (years)",iso3,country_name,region,income_group
abw,1990,12187.5363611898,73.076,abw,Aruba,Latin America & Caribbean ,High income
abw,1991,13233.9905169683,73.1,abw,Aruba,Latin America & Caribbean ,High income
abw,1992,13892.6051427736,73.179,abw,Aruba,Latin America & Caribbean ,High income
abw,1993,14700.9598081521,73.225,abw,Aruba,Latin America & Caribbean ,High income
abw,1994,16055.2877874337,73.272,abw,Aruba,Latin America & Caribbean ,High income
abw,1995,16548.7173868987,73.349,abw,Aruba,Latin America & Caribbean ,High income
abw,1996,16620.9545555513,73.448,abw,Aruba,Latin America & Caribbean ,High income
abw,1997,17750.0095644198,73.452,abw,Aruba,Latin America & Caribbean ,High income
abw,1998,18828.0870594071,73.491,abw,Aruba,Latin America & Caribbean ,High income
abw,1999,19216.1972354472,73.561,abw,Aruba,Latin America & Caribbean ,High income
abw,2000,20681.0230269625,73.569,abw,Aruba,Latin America & Caribbean ,High income
abw,2001,20740.1325828172,73.647,abw,Aruba,Latin America & Caribbean ,High income
abw,2002,21307.2482505267,73.726,abw,Aruba,Latin America & Caribbean ,High income
abw,2003,21949.4859960868,73.752,abw,Aruba,Latin America & Caribbean ,High income
abw,2004,23700.6319899197,73.576,abw,Aruba,Latin America & Caribbean ,High income
abw,2005,24171.8371325422,73.811,abw,Aruba,Latin America & Caribbean ,High income
abw,2006,24845.65848362,74.026,abw,Aruba,Latin America & Caribbean ,High income
abw,2007,26736.3089444046,74.21,abw,Aruba,Latin America & Caribbean ,High income
abw,2008,28171.9094008501,74.147,abw,Aruba,Latin America & Caribbean ,High income
abw,2009,25134.7712303589,74.56,abw,Aruba,Latin America & Caribbean ,High income
abw,2010,24093.1401510626,75.404,abw,Aruba,Latin America & Caribbean ,High income
abw,2011,25712.3843015186,75.465,abw,Aruba,Latin America & Caribbean ,High income
abw,2012,25119.6655449838,75.531,abw,Aruba,Latin America & Caribbean ,High income
abw,2013,25813.5767274227,75.636,abw,Aruba,Latin America & Caribbean ,High income
abw,2014,26129.8390617693,75.601,abw,Aruba,Latin America & Caribbean ,High income
abw,2015,27458.2253310273,75.683,abw,Aruba,Latin America & Caribbean ,High income
abw,2016,27441.5296617282,75.617,abw,Aruba,Latin America & Caribbean ,High income
abw,2017,28440.051963759,75.903,abw,Aruba,Latin America & Caribbean ,High income
abw,2018,30082.1276448186,76.072,abw,Aruba,Latin America & Caribbean ,High income
abw,2019,31096.2050738676,76.248,abw,Aruba,Latin America & Caribbean ,High income
abw,2020,22855.9323200761,75.723,abw,Aruba,Latin America & Caribbean ,High income
abw,2021,27200.0610793969,74.626,abw,Aruba,Latin America & Caribbean ,High income
abw,2022,30559.5335346581,74.992,abw,Aruba,Latin America & Caribbean ,High income
abw,2023,33984.7906198041,,abw,Aruba,Latin America & Caribbean ,High income
afg,1990,,45.967,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,1991,,46.663,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,1992,,47.596,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,1993,,51.466,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,1994,,51.495,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,1995,,52.544,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,1996,,53.243,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,1997,,53.634,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,1998,,52.943,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,1999,,54.846,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2000,174.9309914302,55.298,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2001,138.7068216761,55.798,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2002,178.9540883792,56.454,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2003,198.8711157287,57.344,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2004,221.763653873,57.944,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2005,254.1842491493,58.361,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2006,274.2185535616,58.684,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2007,376.2231520039,59.111,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2008,381.7332380284,59.852,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2009,452.053705477,60.364,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2010,560.6215054631,60.851,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2011,606.6946763377,61.419,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2012,651.41713447,61.923,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2013,637.0870991171,62.417,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2014,625.0549418139,62.545,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2015,565.5697304088,62.659,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2016,522.0822155839,63.136,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2017,525.4697708916,63.016,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2018,491.3372213826,63.081,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2019,496.6025042585,63.565,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2020,510.7870633668,62.575,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2021,356.4962141159,61.982,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2022,357.2611527981,62.879,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
afg,2023,415.7074170591,,afg,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
ago,1990,965.8668404647,41.893,ago,Angola,Sub-Saharan Africa ,Lower middle income
ago,1991,881.9194881301,43.813,ago,Angola,Sub-Saharan Africa ,Lower middle income
ago,1992,668.7060174599,42.209,ago,Angola,Sub-Saharan Africa ,Lower middle income
ago,1993,449.7278949363,42.101,ago,Angola,Sub-Saharan Africa ,Lower middle income
ago,1994,334.9735902761,43.422,ago,Angola,Sub-Saharan Africa ,Lower middle income
ago,1995,404.2948184961,45.849,ago,Angola,Sub-Saharan Africa ,Lower middle income
ago,1996,531.1171368061,46.033,ago,Angola,Sub-Saharan Africa ,Lower middle income
ago,1997,521.7027250755,46.306,ago,Angola,Sub-Saharan Africa ,Lower middle income
ago,1998,429.1886540994,45.057,ago,Angola,Sub-Saharan Africa ,Lower middle income
ago,1999,392.7255390275,45.386,ago,Angola,Sub-Saharan Africa ,Lower middle income
ago,2000,563.7337955715,46.024,ago,Angola,Sub-Saharan Africa ,Lower middle income
ago,2001,533.5862024124,46.59,ago,Angola,Sub-Saharan Africa ,Lower middle income
ago,2002,882.1478472343,47.386,ago,Angola,Sub-Saharan Africa ,Lower middle income
ago,2003,992.6989792547,49.617,ago,Angola,Sub-Saharan Africa ,Lower middle income
ago,2004,1266.2108641024,50.592,ago,Angola,Sub-Saharan Africa ,Lower middle income
ago,2005,1916.4684221863,51.57,ago,Angola,Sub-Saharan Africa ,Lower middle income
ago,2006,2617.0519602263,52.369,ago,Angola,Sub-Saharan Africa ,Lower middle income
