iso3,country_name,year,GDP per capita (current US$),"Life expectancy at birth, total (years)",income_group,"Literacy rate, adult total (% of people ages 15 and above)",literacy_bucket,gdp_tier
PLW,Palau,2005,9639.6589131641,69.1292682927,High income,97.0,90-100%,Upper-Mid GDP
ERI,Eritrea,2011,688.6816595768,64.402,Low income,76.5705184936523,60-80%,Low GDP
VEN,"Venezuela, RB",2014,15943.6127197163,72.853,Not classified,97.5999984741211,90-100%,High GDP
SSD,South Sudan,2015,1080.1471862477,55.566,Low income,34.5227584838867,<60%,Low GDP
CUB,Cuba,2020,9605.2612506726,77.567,Upper middle income,99.6731109619141,90-100%,Upper-Mid GDP
CYM,Cayman Islands,2021,86438.445257404,82.0097560976,High income,99.0,90-100%,High GDP
KEN,Kenya,2022,2109.5628851314,62.055,Lower middle income,82.879997253418,80-90%,Lower-Mid GDP
KGZ,Kyrgyz Republic,2022,1739.7203081489,72.0487804878,Lower middle income,99.5999984741211,90-100%,Low GDP
KIR,Kiribati,2022,2075.9084408507,67.661,Lower middle income,97.9597091674805,90-100%,Lower-Mid GDP
ITA,Italy,2022,35635.7442204098,82.9,High income,99.0,90-100%,High GDP
LBR,Liberia,2022,744.6171752374,61.1,Low income,48.3013610839844,<60%,Low GDP
KOR,"Korea, Rep.",2022,32394.6833725203,82.6804878049,High income,98.8000030517578,90-100%,High GDP
CAF,Central African Republic,2022,467.3598250262,54.477,Low income,37.4900016784668,<60%,Low GDP
KHM,Cambodia,2022,2325.0305004084,69.896,Lower middle income,83.7799987792969,80-90%,Lower-Mid GDP
LAO,Lao PDR,2022,2046.4044025562,68.999,Lower middle income,87.5199966430664,80-90%,Lower-Mid GDP
LBN,Lebanon,2022,3654.3584553488,74.416,Lower middle income,93.0,90-100%,Lower-Mid GDP
YEM,"Yemen, Rep.",2022,615.7020793139,63.72,Low income,54.0999984741211,<60%,Low GDP
ZMB,Zambia,2022,1447.1231013803,61.803,Lower middle income,87.5,80-90%,Low GDP
ISR,Israel,2022,54930.7261602593,82.7,High income,92.0,90-100%,High GDP
JAM,Jamaica,2022,6022.153411,70.629,Upper middle income,80.0,60-80%,Upper-Mid GDP
KAZ,Kazakhstan,2022,11255.3396437881,74.44,Upper middle income,99.8000030517578,90-100%,Upper-Mid GDP
ZAF,South Africa,2022,6523.4109781585,61.48,Upper middle income,90.0,80-90%,Upper-Mid GDP
BWA,Botswana,2022,8329.0403222914,65.913,Upper middle income,86.8231811523438,80-90%,Upper-Mid GDP
WSM,Samoa,2022,3869.4663949214,72.598,Upper middle income,99.0999984741211,90-100%,Lower-Mid GDP
JOR,Jordan,2022,4332.2515989793,74.215,Lower middle income,95.0,90-100%,Lower-Mid GDP
KWT,Kuwait,2022,40077.238047746,80.264,High income,96.0,90-100%,High GDP
ABW,Aruba,2022,30559.5335346581,74.992,High income,97.9899978637695,90-100%,High GDP
CYP,Cyprus,2022,33938.9453125,81.889,High income,99.3600006103516,90-100%,High GDP
STP,Sao Tome and Principe,2022,2389.7372978474,68.794,Lower middle income,93.75,90-100%,Lower-Mid GDP
VUT,Vanuatu,2022,3265.396451331,70.492,Lower middle income,89.0999984741211,80-90%,Lower-Mid GDP
PER,Peru,2022,7363.2720693964,73.385,Upper middle income,94.0,90-100%,Upper-Mid GDP
EST,Estonia,2022,28451.1477825175,77.943902439,High income,99.870002746582,90-100%,High GDP
PHL,Philippines,2022,3548.0693057212,72.187,Lower middle income,98.0,90-100%,Lower-Mid GDP
GNQ,Equatorial Guinea,2022,7589.2996490938,61.19,Upper middle income,94.3705368041992,90-100%,Upper-Mid GDP
TGO,Togo,2022,898.7581544107,61.588,Low income,67.0,60-80%,Low GDP
PNG,Papua New Guinea,2022,3101.7106320005,65.958,Lower middle income,70.0636825561523,60-80%,Lower-Mid GDP
BGD,Bangladesh,2022,2716.4859267783,73.698,Lower middle income,76.0,60-80%,Lower-Mid GDP
POL,Poland,2022,18891.2121169279,77.3048780488,High income,99.8000030517578,90-100%,High GDP
GNB,Guinea-Bissau,2022,853.2813040441,59.861,Low income,53.9000015258789,<60%,Low GDP
PRI,Puerto Rico (US),2022,35268.0791015719,79.72,High income,92.4000015258789,90-100%,High GDP
TCD,Chad,2022,671.7201476479,52.997,Low income,27.2800006866455,<60%,Low GDP
PRT,Portugal,2022,24620.519556875,81.5804878049,High income,96.7799987792969,90-100%,High GDP
BFA,Burkina Faso,2022,836.1183045937,59.766,Low income,34.4900016784668,<60%,Low GDP
COG,"Congo, Rep.",2022,2620.838042674,63.053,Lower middle income,80.6100006103516,80-90%,Lower-Mid GDP
GMB,"Gambia, The",2022,836.2448758685,62.906,Low income,58.6699981689453,<60%,Low GDP
ATG,Antigua and Barbuda,2022,20117.7653310355,79.236,High income,99.0,90-100%,High GDP
THA,Thailand,2022,6909.3599748145,79.68,Upper middle income,91.0998687744141,90-100%,Upper-Mid GDP
PRY,Paraguay,2022,6205.6259537932,70.475,Upper middle income,95.0,90-100%,Upper-Mid GDP
ARM,Armenia,2022,6571.974455451,73.372,Upper middle income,100.0,90-100%,Upper-Mid GDP
PAN,Panama,2022,17332.4360742988,76.826,High income,96.0,90-100%,High GDP
GTM,Guatemala,2022,5358.08963795,68.674,Upper middle income,83.0311737060547,80-90%,Lower-Mid GDP
ARG,Argentina,2022,13935.6811110049,76.064,Upper middle income,97.0,90-100%,High GDP
CRI,Costa Rica,2022,13625.9008491328,77.32,High income,98.0400009155273,90-100%,Upper-Mid GDP
TLS,Timor-Leste,2022,2343.2452466415,69.056,Lower middle income,69.9000015258789,60-80%,Lower-Mid GDP
NPL,Nepal,2022,1385.9106627502,70.484,Lower middle income,71.1500015258789,60-80%,Low GDP
BHR,Bahrain,2022,30616.2610677495,79.246,High income,98.0,90-100%,High GDP
TKM,Turkmenistan,2022,8156.3521195077,69.41,Upper middle income,99.4000015258789,90-100%,Upper-Mid GDP
GRD,Grenada,2022,10474.2652893842,75.335,Upper middle income,98.4000015258789,90-100%,Upper-Mid GDP
ESP,Spain,2022,30287.3657583614,83.0829268293,High income,99.0,90-100%,High GDP
OMN,Oman,2022,23665.6394740852,73.935,High income,97.0,90-100%,High GDP
TJK,Tajikistan,2022,1052.1794948489,71.288,Lower middle income,99.6999969482422,90-100%,Low GDP
PAK,Pakistan,2022,1538.3228133171,66.431,Lower middle income,58.0,<60%,Low GDP
COD,"Congo, Dem. Rep.",2022,642.61226582,59.743,Low income,80.5400009155273,80-90%,Low GDP
GRC,Greece,2022,20971.8349258283,80.6365853659,High income,94.0,90-100%,High GDP
BGR,Bulgaria,2022,13644.201582807,74.3609756098,High income,98.4199981689453,90-100%,Upper-Mid GDP
ETH,Ethiopia,2022,1011.0732858233,65.645,Not classified,51.7711791992188,<60%,Low GDP
PSE,West Bank and Gaza,2022,3799.9552701516,73.444,Lower middle income,98.0,90-100%,Lower-Mid GDP
SYR,Syrian Arab Republic,2022,1051.6714958746,72.3,Low income,94.0,90-100%,Low GDP
BDI,Burundi,2022,250.6342253687,61.977,Low income,75.5400009155273,60-80%,Low GDP
SGP,Singapore,2022,88428.7024226232,82.8951219512,High income,98.0,90-100%,High GDP
SVN,Slovenia,2022,28373.8382265999,81.2829268293,High income,99.5999984741211,90-100%,High GDP
GAB,Gabon,2022,8409.2074145028,65.694,Upper middle income,85.6900024414062,80-90%,Upper-Mid GDP
