country,year,gdp per capita (current us$),"inflation, consumer prices (annual %)",poverty headcount ratio at $6.85 a day (2017 ppp) (% of population),"literacy rate, adult total (% of people ages 15 and above)","school enrollment, secondary (% gross)",individuals using the internet (% of population),mobile cellular subscriptions (per 100 people),electric power consumption (kwh per capita),rural population (% of total population),population growth (annual %),renewable energy consumption (% of total final energy consumption),total greenhouse gas emissions excluding lulucf per capita (t co2e/capita)
15084,2018,2538.59139143371,19.6289379701521,78.0,66.2358627319336,53.5814514160156,29.0,42.49094914,370.736573340292,34.486,3.45323300897802,52.5,2.22079610750562
15344,2019,2189.85571407618,17.080954143438,78.0,66.2358627319336,53.5814514160156,32.1,45.8377414,410.864566288621,33.823,3.38788422184303,51.0,2.15936479633818
15604,2020,1449.92286669308,22.271539247051,78.0,66.2358627319336,53.5814514160156,36.6,43.81009059,437.653350565236,33.175,3.26795864914978,60.1,1.84388677788243
15864,2021,1925.87466082167,25.7542948841891,78.0,66.2358627319336,52.5437698364258,39.4,44.42373173,392.355834569297,32.54,3.18132259995095,52.9,1.86517432642807
16124,2022,2929.69445467272,21.3552901320822,78.0,72.4000015258789,52.5437698364258,42.1,67.37347427,392.507046928459,31.919,3.14302612044601,52.9,1.88608798382064
16384,2023,2308.15976731274,13.6441017767715,78.0,72.4000015258789,52.5437698364258,44.8,67.37347427,392.507046928459,31.312,3.08065530722915,52.9,1.84220335148612
16644,2024,2308.15976731274,28.2404948915772,78.0,72.4000015258789,52.5437698364258,44.8,67.37347427,392.507046928459,31.312,3.08065530722915,52.9,1.84220335148612
13525,2012,4247.63134315945,2.03159268395296,36.7,97.0,97.6080703735352,49.4,121.0154371,2118.32777605579,45.67,-0.165151040121679,39.9,2.81319720962722
13785,2013,4413.06338346821,1.93762080205223,36.7,97.0,102.903213500977,51.8,127.67458,2533.25282927106,44.613,-0.183211384606402,41.1,2.90992479686311
14045,2014,4578.63320812155,1.62586504402604,38.7,97.0,103.321380615234,54.3,116.4887372,2309.36650255581,43.577,-0.207046999760594,38.6,3.0804360106109
14305,2015,3952.80357364813,3.50120835492657,25.4,97.0,102.440727233887,56.9,117.9871153,2098.09897098035,42.566,-0.291205786840436,38.5,3.03394692198397
14565,2016,4124.05538986272,-0.367317209784652,25.5,97.0,99.1707611083984,59.6,116.9622462,1994.36667905612,41.579,-0.159880412127734,39.4,2.90549601700358
14825,2017,4531.03220675893,2.06059845920226,25.5,98.8162307739258,97.5743713378906,62.4,125.9205273,2145.15129337241,40.617,-0.0919722937442495,36.9,3.18922468650131
15085,2018,5365.48934672897,2.02805963071135,18.2,98.8162307739258,98.8223876953125,65.4,94.36446759,2276.74247900485,39.681,-0.246732042281782,37.8,3.19316098097388
15345,2019,5460.42823730592,1.41109078954251,14.9,98.8162307739258,99.0151519775391,68.6,91.51642864,2297.67384172958,38.771,-0.426007367032238,40.1,3.01962973045602
15605,2020,5370.77862312929,1.62088661717004,13.7,98.8162307739258,95.9294509887695,72.2,91.35050062,2354.60026238182,37.888,-0.574206959244013,44.4,2.8075489569741
15865,2021,6413.28328605026,2.04147163139545,13.7,98.8162307739258,97.6650314331055,79.3,92.31992041,2509.89982451685,37.031,-0.926918061639398,41.9,2.98588096879217
16125,2022,6846.42614266044,6.7252027153006,13.7,98.5,97.3224716186523,82.6,97.88570679,2507.48013906524,36.201,-1.21579032012532,41.9,2.81240988461991
16385,2023,8575.17113446213,4.75976421930106,13.7,98.5,96.1368789672852,83.1,97.88570679,2507.48013906524,35.397,-1.14841763771287,41.9,2.79452958733738
16645,2024,8575.17113446213,2.21448953273294,13.7,98.5,96.1368789672852,83.1,97.88570679,2507.48013906524,35.397,-1.14841763771287,41.9,2.79452958733738
15348,2019,44251.4541390148,-1.93108114782173,0.4,98.0,82.3568878173828,99.2,212.804439,13914.1426572805,13.211,1.0545163442516,0.7,26.6352240708422
15608,2020,37173.8754100281,-2.07940317940944,0.4,98.0,83.4686508178711,100.0,197.8438703,13855.0657916711,12.952,-0.474850154644905,0.9,26.5208692912421
15868,2021,43360.0211014806,0.179935336174431,0.4,98.0,83.4686508178711,100.0,194.7336208,14828.6941032372,12.701,1.83513009029147,1.0,26.836639251262
16128,2022,49899.0652978649,5.29122604376849,0.4,98.0,83.4686508178711,100.0,212.2208173,14687.9739775088,12.457,5.08834153373914,1.0,26.5641201960064
16388,2023,49040.6947525825,1.62670837213248,0.4,98.0,101.944969177246,100.0,212.2208173,14687.9739775088,12.221,3.97717097504667,1.0,25.5465052537017
16648,2024,49040.6947525825,1.62670837213248,0.4,98.0,101.944969177246,100.0,212.2208173,14687.9739775088,12.221,3.97717097504667,1.0,25.5465052537017
13270,2011,3349.55309771906,7.65000807859294,59.3,100.0,90.0805282592773,32.0,109.6360981,1716.70134416592,36.66,-0.556590762896162,8.0,2.52045972456158
13530,2012,3511.56399687426,2.55802007757907,55.2,100.0,90.0805282592773,37.5,114.013624,1804.50381931814,36.76,-0.125578337719131,6.6,2.81144803412586
13790,2013,3680.16692158886,5.78966778544651,53.1,100.0,84.4040374755859,41.9,115.3337511,1851.75380542687,36.836,-0.0694662703047376,6.8,2.82590999338187
14050,2014,3852.11800610384,2.98130868933672,51.1,100.0,84.9311065673828,54.6,119.696221,1895.28170416086,36.888,-0.271712284863074,7.1,2.95182162054549
14310,2015,3512.39350276709,3.73169119261693,46.7,100.0,85.793701171875,59.1,120.3535058,1909.40557811356,36.915,-0.305729335573084,10.7,2.93679691140252
14570,2016,3524.42476874707,-1.403607559009,42.4,100.0,85.793701171875,64.3,119.8452458,1889.85061658256,36.918,-0.410212518071397,13.2,2.89259098352438
